dataset,instance,method,makespan,runtime_seconds,n_jobs,n_machines,size,best_dr_makespan,mean_dr_makespan,gap_vs_best_dr_pct,gap_vs_mean_dr_pct
edata,mt06.fjs,DRL-Greedy,55,0.1634601205587387,6,6,36,55.0,65.75,0.0,-16.34980988593156
edata,mt06.fjs,DRL-Sampling,55,0.4898419380187988,6,6,36,55.0,65.75,0.0,-16.34980988593156
edata,car7.fjs,DRL-Greedy,7124,0.2284862995147705,7,7,49,6925.0,7414.25,2.8736462093862816,-3.9147587416124354
edata,car7.fjs,DRL-Sampling,6755,0.669562816619873,7,7,49,6925.0,7414.25,-2.454873646209386,-8.8916613278484
edata,la01.fjs,DRL-Greedy,688,0.2325588464736938,10,5,50,747.0,809.5,-7.898259705488621,-15.009264978381717
edata,la01.fjs,DRL-Sampling,658,0.6774370670318604,10,5,50,747.0,809.5,-11.914323962516733,-18.71525633106856
edata,la02.fjs,DRL-Greedy,789,0.2328573763370514,10,5,50,767.0,804.25,2.8683181225554106,-1.8961765620142992
edata,la02.fjs,DRL-Sampling,714,0.6785147190093994,10,5,50,767.0,804.25,-6.910039113428944,-11.221635063723967
edata,la03.fjs,DRL-Greedy,645,0.2306246310472488,10,5,50,648.0,677.25,-0.4629629629629629,-4.761904761904762
edata,la03.fjs,DRL-Sampling,593,0.6840236186981201,10,5,50,648.0,677.25,-8.487654320987655,-12.44001476559616
edata,la04.fjs,DRL-Greedy,728,0.2296975404024124,10,5,50,668.0,711.0,8.982035928143713,2.390998593530239
edata,la04.fjs,DRL-Sampling,622,0.68619704246521,10,5,50,668.0,711.0,-6.88622754491018,-12.517580872011253
edata,la05.fjs,DRL-Greedy,543,0.2309067100286484,10,5,50,530.0,575.5,2.4528301886792456,-5.647263249348393
edata,la05.fjs,DRL-Sampling,519,0.6849699020385742,10,5,50,530.0,575.5,-2.0754716981132075,-9.817549956559514
edata,car2.fjs,DRL-Greedy,8188,0.2425022423267365,13,4,52,7329.0,7878.5,11.720562150361577,3.928412768928095
edata,car2.fjs,DRL-Sampling,7552,0.6925098896026611,13,4,52,7329.0,7878.5,3.042707054168372,-4.1441898838611415
edata,car1.fjs,DRL-Greedy,7402,0.2560375034809113,11,5,55,7251.0,7855.25,2.0824713832574817,-5.770026415454632
edata,car1.fjs,DRL-Sampling,6900,0.7572243213653564,11,5,55,7251.0,7855.25,-4.840711625982623,-12.160656885522421
edata,car4.fjs,DRL-Greedy,9593,0.2609719634056091,14,4,56,8845.0,9321.25,8.456755228942905,2.9153815207187876
edata,car4.fjs,DRL-Sampling,8759,0.749671459197998,14,4,56,8845.0,9321.25,-0.9723007348784624,-6.03191632023602
edata,car3.fjs,DRL-Greedy,8690,0.2784844040870667,12,5,60,8026.0,9045.0,8.273112384749563,-3.924820342730791
edata,car3.fjs,DRL-Sampling,7489,0.8220751285552979,12,5,60,8026.0,9045.0,-6.690755046100175,-17.20287451630735
edata,car5.fjs,DRL-Greedy,8849,0.2795752584934235,10,6,60,7952.0,8756.0,11.280181086519114,1.0621288259479214
edata,car5.fjs,DRL-Sampling,7429,0.8257226943969727,10,6,60,7952.0,8756.0,-6.5769617706237415,-15.155322064869804
edata,car8.fjs,DRL-Greedy,9017,0.297763854265213,8,8,64,9156.0,9495.0,-1.5181301878549585,-5.034228541337546
edata,car8.fjs,DRL-Sampling,8006,0.8845984935760498,8,8,64,9156.0,9495.0,-12.56006989951944,-15.68193786203265
edata,car6.fjs,DRL-Greedy,10045,0.3356868922710419,8,9,72,8837.0,9960.25,13.669797442571008,0.8508822569714615
edata,car6.fjs,DRL-Sampling,8512,0.9983370304107666,8,9,72,8837.0,9960.25,-3.6777186828109083,-14.540297683291081
edata,la06.fjs,DRL-Greedy,847,0.3479947745800018,15,5,75,968.0,1055.5,-12.5,-19.753671245855045
edata,la06.fjs,DRL-Sampling,840,1.004606485366821,15,5,75,968.0,1055.5,-13.223140495867769,-20.41686404547608
edata,la07.fjs,DRL-Greedy,943,0.3496025800704956,15,5,75,844.0,943.0,11.729857819905213,0.0
edata,la07.fjs,DRL-Sampling,846,1.010153532028198,15,5,75,844.0,943.0,0.23696682464454977,-10.286320254506894
edata,la08.fjs,DRL-Greedy,927,0.3474067747592926,15,5,75,906.0,963.5,2.3178807947019866,-3.788271925272444
edata,la08.fjs,DRL-Sampling,860,1.014858722686768,15,5,75,906.0,963.5,-5.077262693156733,-10.742086144265697
edata,la09.fjs,DRL-Greedy,934,0.3475950062274933,15,5,75,1005.0,1031.75,-7.064676616915423,-9.474194330021808
edata,la09.fjs,DRL-Sampling,912,1.003053903579712,15,5,75,1005.0,1031.75,-9.253731343283581,-11.60649382117761
edata,la10.fjs,DRL-Greedy,897,0.3491252958774567,15,5,75,929.0,973.25,-3.4445640473627552,-7.834574877986129
edata,la10.fjs,DRL-Sampling,866,1.011021137237549,15,5,75,929.0,973.25,-6.7814854682454255,-11.019779090675572
edata,abz5.fjs,DRL-Greedy,1310,0.5112800002098083,10,10,100,1288.0,1347.25,1.7080745341614907,-2.7648914455372053
edata,abz5.fjs,DRL-Sampling,1216,1.68380880355835,10,10,100,1288.0,1347.25,-5.590062111801243,-9.742067173872703
edata,abz6.fjs,DRL-Greedy,1131,0.4667062759399414,10,10,100,980.0,1104.0,15.408163265306122,2.4456521739130435
edata,abz6.fjs,DRL-Sampling,980,1.405564308166504,10,10,100,980.0,1104.0,0.0,-11.231884057971014
edata,la11.fjs,DRL-Greedy,1205,0.4641394317150116,20,5,100,1212.0,1315.25,-0.5775577557755776,-8.382436799087625
edata,la11.fjs,DRL-Sampling,1135,1.348184823989868,20,5,100,1212.0,1315.25,-6.353135313531354,-13.704618893746437
edata,la12.fjs,DRL-Greedy,1086,0.4635133743286133,20,5,100,1013.0,1104.5,7.206317867719644,-1.6749660479855137
edata,la12.fjs,DRL-Sampling,980,1.340322494506836,20,5,100,1013.0,1104.5,-3.257650542941757,-11.272068809416025
edata,la13.fjs,DRL-Greedy,1158,0.4653571248054504,20,5,100,1127.0,1235.75,2.750665483584738,-6.29172567266842
edata,la13.fjs,DRL-Sampling,1092,1.332366228103638,20,5,100,1127.0,1235.75,-3.1055900621118013,-11.632611774226179
edata,la14.fjs,DRL-Greedy,1163,0.4642601013183594,20,5,100,1163.0,1256.5,0.0,-7.441305212892956
edata,la14.fjs,DRL-Sampling,1148,1.339701652526855,20,5,100,1163.0,1256.5,-1.2897678417884781,-8.635097493036211
edata,la15.fjs,DRL-Greedy,1367,0.4674148559570312,20,5,100,1213.0,1343.5,12.695795548227535,1.7491626349088203
edata,la15.fjs,DRL-Sampling,1237,1.344404458999634,20,5,100,1213.0,1343.5,1.9785655399835118,-7.927056196501675
edata,la16.fjs,DRL-Greedy,1129,0.4619729220867157,10,10,100,1015.0,1115.75,11.231527093596059,1.1875420120994846
edata,la16.fjs,DRL-Sampling,993,1.41634464263916,10,10,100,1015.0,1115.75,-2.167487684729064,-11.001568451714093
edata,la17.fjs,DRL-Greedy,786,0.4629388749599457,10,10,100,781.0,859.75,0.6402048655569782,-8.578075021808665
edata,la17.fjs,DRL-Sampling,785,1.398046970367432,10,10,100,781.0,859.75,0.5121638924455826,-8.694387903460308
edata,la18.fjs,DRL-Greedy,972,0.4647788107395172,10,10,100,921.0,983.5,5.537459283387622,-1.1692933401118455
edata,la18.fjs,DRL-Sampling,873,1.401560306549072,10,10,100,921.0,983.5,-5.211726384364821,-11.235383833248601
edata,la19.fjs,DRL-Greedy,1009,0.4646119177341461,10,10,100,950.0,997.5,6.210526315789474,1.1528822055137844
edata,la19.fjs,DRL-Sampling,870,1.402708530426025,10,10,100,950.0,997.5,-8.421052631578947,-12.781954887218044
edata,la20.fjs,DRL-Greedy,949,0.4624433219432831,10,10,100,991.0,1096.75,-4.238143289606458,-13.471620697515386
edata,la20.fjs,DRL-Sampling,934,1.379844903945923,10,10,100,991.0,1096.75,-5.751765893037336,-14.839297925689538
edata,mt10.fjs,DRL-Greedy,1095,0.4657287299633026,10,10,100,985.0,1103.25,11.16751269035533,-0.7477906186267845
edata,mt10.fjs,DRL-Sampling,984,1.408425092697144,10,10,100,985.0,1103.25,-0.10152284263959391,-10.808973487423522
edata,mt20.fjs,DRL-Greedy,1544,0.4679103493690491,20,5,100,1360.0,1471.75,13.529411764705882,4.909121793782911
edata,mt20.fjs,DRL-Sampling,1405,1.352154493331909,20,5,100,1360.0,1471.75,3.308823529411765,-4.535417020553763
edata,orb1.fjs,DRL-Greedy,1147,0.4633835852146149,10,10,100,1170.0,1211.75,-1.9658119658119657,-5.343511450381679
edata,orb1.fjs,DRL-Sampling,1119,1.419689416885376,10,10,100,1170.0,1211.75,-4.358974358974359,-7.654219104600784
edata,orb10.fjs,DRL-Greedy,1107,0.4648712277412415,10,10,100,1071.0,1207.5,3.361344537815126,-8.322981366459627
edata,orb10.fjs,DRL-Sampling,1042,1.410366773605347,10,10,100,1071.0,1207.5,-2.707749766573296,-13.706004140786748
edata,orb2.fjs,DRL-Greedy,1027,0.4647692739963531,10,10,100,1005.0,1054.75,2.1890547263681595,-2.630955202654657
edata,orb2.fjs,DRL-Sampling,923,1.430005311965942,10,10,100,1005.0,1054.75,-8.159203980099502,-12.491111637828869
edata,orb3.fjs,DRL-Greedy,1178,0.464857816696167,10,10,100,1152.0,1240.75,2.256944444444444,-5.0574249445899655
edata,orb3.fjs,DRL-Sampling,1123,1.405853748321533,10,10,100,1152.0,1240.75,-2.517361111111111,-9.490227684868023
edata,orb4.fjs,DRL-Greedy,1091,0.4647221565246582,10,10,100,1236.0,1316.0,-11.731391585760518,-17.09726443768997
edata,orb4.fjs,DRL-Sampling,1112,1.424637079238892,10,10,100,1236.0,1316.0,-10.032362459546926,-15.501519756838904
edata,orb5.fjs,DRL-Greedy,1053,0.4652648568153381,10,10,100,1013.0,1072.25,3.948667324777887,-1.7952902774539519
edata,orb5.fjs,DRL-Sampling,951,1.412704467773438,10,10,100,1013.0,1072.25,-6.1204343534057255,-11.307997202145021
edata,orb6.fjs,DRL-Greedy,1213,0.4633707702159882,10,10,100,1202.0,1265.5,0.9151414309484194,-4.1485578822599765
edata,orb6.fjs,DRL-Sampling,1109,1.409919738769531,10,10,100,1202.0,1265.5,-7.737104825291182,-12.366653496641645
edata,orb7.fjs,DRL-Greedy,445,0.4615324139595032,10,10,100,,,,
edata,orb7.fjs,DRL-Sampling,422,1.428826332092285,10,10,100,,,,
edata,orb8.fjs,DRL-Greedy,1183,0.466415137052536,10,10,100,1044.0,1136.75,13.31417624521073,4.068616670332087
edata,orb8.fjs,DRL-Sampling,1014,1.403497695922852,10,10,100,1044.0,1136.75,-2.8735632183908044,-10.798328568286783
edata,orb9.fjs,DRL-Greedy,1060,0.4644926190376282,10,10,100,1128.0,1183.5,-6.028368794326241,-10.435149978876215
edata,orb9.fjs,DRL-Sampling,1044,1.424071073532104,10,10,100,1128.0,1183.5,-7.446808510638298,-11.787072243346007
edata,la21.fjs,DRL-Greedy,1164,0.7142460346221924,15,10,150,1209.0,1401.5,-3.722084367245657,-16.946129147342134
edata,la21.fjs,DRL-Sampling,1164,2.12790060043335,15,10,150,1209.0,1401.5,-3.722084367245657,-16.946129147342134
edata,la22.fjs,DRL-Greedy,1054,0.7132889628410339,15,10,150,1068.0,1100.75,-1.3108614232209739,-4.247104247104247
edata,la22.fjs,DRL-Sampling,1018,2.137328386306763,15,10,150,1068.0,1100.75,-4.681647940074907,-7.517601635248694
edata,la23.fjs,DRL-Greedy,1137,0.7116109132766724,15,10,150,1125.0,1219.75,1.0666666666666667,-6.784177085468333
edata,la23.fjs,DRL-Sampling,1082,2.117233276367188,15,10,150,1125.0,1219.75,-3.822222222222222,-11.293297806927649
edata,la24.fjs,DRL-Greedy,1084,0.7092982530593872,15,10,150,1089.0,1182.75,-0.4591368227731864,-8.349186218558444
edata,la24.fjs,DRL-Sampling,1023,2.123130798339844,15,10,150,1089.0,1182.75,-6.0606060606060606,-13.506658211794548
edata,la25.fjs,DRL-Greedy,1138,0.7087501883506775,15,10,150,1097.0,1218.75,3.7374658158614404,-6.625641025641025
edata,la25.fjs,DRL-Sampling,1061,2.132895946502686,15,10,150,1097.0,1218.75,-3.2816773017319965,-12.943589743589742
edata,la26.fjs,DRL-Greedy,1315,0.9464921951293945,20,10,200,1276.0,1393.0,3.0564263322884013,-5.599425699928212
edata,la26.fjs,DRL-Sampling,1247,2.898598670959473,20,10,200,1276.0,1393.0,-2.272727272727273,-10.48097631012204
edata,la27.fjs,DRL-Greedy,1413,0.9502353668212891,20,10,200,1440.0,1612.75,-1.875,-12.385676639280732
edata,la27.fjs,DRL-Sampling,1364,2.89092230796814,20,10,200,1440.0,1612.75,-5.277777777777778,-15.423965276701287
edata,la28.fjs,DRL-Greedy,1400,0.9419471025466919,20,10,200,1410.0,1463.25,-0.7092198581560284,-4.322569622415855
edata,la28.fjs,DRL-Sampling,1347,2.895076513290405,20,10,200,1410.0,1463.25,-4.468085106382979,-7.9446437724243975
edata,la29.fjs,DRL-Greedy,1405,0.9453285336494446,20,10,200,1305.0,1455.25,7.662835249042145,-3.4530149458855868
edata,la29.fjs,DRL-Sampling,1302,2.904715776443481,20,10,200,1305.0,1455.25,-0.22988505747126436,-10.530836626009277
edata,la30.fjs,DRL-Greedy,1464,0.9484028220176697,20,10,200,1425.0,1568.0,2.736842105263158,-6.63265306122449
edata,la30.fjs,DRL-Sampling,1407,2.903791666030884,20,10,200,1425.0,1568.0,-1.263157894736842,-10.267857142857142
edata,la36.fjs,DRL-Greedy,1355,1.062746524810791,15,15,225,1333.0,1534.0,1.6504126031507877,-11.66883963494133
edata,la36.fjs,DRL-Sampling,1266,3.417729377746582,15,15,225,1333.0,1534.0,-5.026256564141035,-17.470664928292045
edata,la37.fjs,DRL-Greedy,1530,1.059605240821838,15,15,225,1551.0,1691.5,-1.3539651837524178,-9.547738693467336
edata,la37.fjs,DRL-Sampling,1513,3.418723106384277,15,15,225,1551.0,1691.5,-2.4500322372662797,-10.552763819095476
edata,la38.fjs,DRL-Greedy,1400,1.067473292350769,15,15,225,1324.0,1477.5,5.740181268882175,-5.245346869712352
edata,la38.fjs,DRL-Sampling,1318,3.40490984916687,15,15,225,1324.0,1477.5,-0.4531722054380665,-10.795262267343485
edata,la39.fjs,DRL-Greedy,1339,1.066004633903503,15,15,225,1366.0,1487.0,-1.9765739385065886,-9.952925353059852
edata,la39.fjs,DRL-Sampling,1337,3.41079568862915,15,15,225,1366.0,1487.0,-2.12298682284041,-10.087424344317418
edata,la40.fjs,DRL-Greedy,1294,1.064160585403442,15,15,225,1342.0,1430.75,-3.5767511177347244,-9.557924165647387
edata,la40.fjs,DRL-Sampling,1292,3.422426223754883,15,15,225,1342.0,1430.75,-3.7257824143070044,-9.697710990739122
edata,abz7.fjs,DRL-Greedy,731,1.401311278343201,20,15,300,704.0,802.25,3.835227272727273,-8.881271424119664
edata,abz7.fjs,DRL-Sampling,723,4.855217456817627,20,15,300,704.0,802.25,2.6988636363636362,-9.878466812090995
edata,abz8.fjs,DRL-Greedy,737,1.392169117927551,20,15,300,732.0,806.5,0.6830601092896175,-8.617482951022938
edata,abz8.fjs,DRL-Sampling,749,4.831894397735596,20,15,300,732.0,806.5,2.3224043715846996,-7.12957222566646
edata,abz9.fjs,DRL-Greedy,760,1.394608497619629,20,15,300,801.0,869.0,-5.118601747815231,-12.543153049482164
edata,abz9.fjs,DRL-Sampling,751,4.86741828918457,20,15,300,801.0,869.0,-6.242197253433209,-13.578826237054084
edata,la31.fjs,DRL-Greedy,1897,1.42371678352356,30,10,300,1741.0,1879.25,8.960367604824814,0.9445257416522549
edata,la31.fjs,DRL-Sampling,1742,4.752255439758301,30,10,300,1741.0,1879.25,0.05743825387708214,-7.3034455234801126
edata,la32.fjs,DRL-Greedy,1883,1.418541312217712,30,10,300,1886.0,2089.25,-0.15906680805938495,-9.8719636233098
edata,la32.fjs,DRL-Sampling,1874,4.704879283905029,30,10,300,1886.0,2089.25,-0.6362672322375398,-10.3027402177815
edata,la33.fjs,DRL-Greedy,1741,1.422501444816589,30,10,300,1723.0,1981.25,1.044689495066744,-12.126182965299684
edata,la33.fjs,DRL-Sampling,1701,4.733543395996094,30,10,300,1723.0,1981.25,-1.2768427161926872,-14.145110410094638
edata,la34.fjs,DRL-Greedy,1774,1.420042872428894,30,10,300,1833.0,1943.5,-3.218767048554282,-8.721378955492668
edata,la34.fjs,DRL-Sampling,1735,4.728187561035156,30,10,300,1833.0,1943.5,-5.346426623022368,-10.72806791870337
edata,la35.fjs,DRL-Greedy,2031,1.421946167945862,30,10,300,1989.0,2095.25,2.1116138763197587,-3.066459849659945
edata,la35.fjs,DRL-Sampling,1885,4.794770240783691,30,10,300,1989.0,2095.25,-5.228758169934641,-10.034602076124568
rdata,mt06.fjs,DRL-Greedy,52,0.1621251404285431,6,6,36,50.0,51.25,4.0,1.4634146341463417
rdata,mt06.fjs,DRL-Sampling,47,0.4908003807067871,6,6,36,50.0,51.25,-6.0,-8.292682926829269
rdata,car7.fjs,DRL-Greedy,5122,0.2278325855731964,7,7,49,5280.0,5568.75,-2.992424242424242,-8.022446689113357
rdata,car7.fjs,DRL-Sampling,4824,0.6749939918518066,7,7,49,5280.0,5568.75,-8.636363636363637,-13.373737373737374
rdata,la01.fjs,DRL-Greedy,633,0.2310342639684677,10,5,50,601.0,658.0,5.324459234608985,-3.7993920972644375
rdata,la01.fjs,DRL-Sampling,595,0.6662049293518066,10,5,50,601.0,658.0,-0.9983361064891847,-9.574468085106384
rdata,la02.fjs,DRL-Greedy,559,0.2288731634616852,10,5,50,601.0,670.25,-6.988352745424292,-16.59828422230511
rdata,la02.fjs,DRL-Sampling,550,0.6654305458068848,10,5,50,601.0,670.25,-8.48585690515807,-17.941066766132042
rdata,la03.fjs,DRL-Greedy,529,0.2310192137956619,10,5,50,504.0,564.5,4.9603174603174605,-6.288751107174491
rdata,la03.fjs,DRL-Sampling,495,0.6777660846710205,10,5,50,504.0,564.5,-1.7857142857142856,-12.311780336581045
rdata,la04.fjs,DRL-Greedy,538,0.2328943014144897,10,5,50,547.0,606.75,-1.6453382084095063,-11.330861145447054
rdata,la04.fjs,DRL-Sampling,532,0.6744208335876465,10,5,50,547.0,606.75,-2.742230347349177,-12.319736299958798
rdata,la05.fjs,DRL-Greedy,479,0.2303585261106491,10,5,50,506.0,593.75,-5.33596837944664,-19.326315789473682
rdata,la05.fjs,DRL-Sampling,468,0.67490553855896,10,5,50,506.0,593.75,-7.5098814229249005,-21.178947368421053
rdata,car2.fjs,DRL-Greedy,7345,0.2421533614397049,13,4,52,6724.0,7372.0,9.235574063057705,-0.36625067824199675
rdata,car2.fjs,DRL-Sampling,6374,0.6838638782501221,13,4,52,6724.0,7372.0,-5.20523497917906,-13.537710255018991
rdata,car1.fjs,DRL-Greedy,5447,0.254046618938446,11,5,55,6259.0,6525.25,-12.97331842147308,-16.52427110072411
rdata,car1.fjs,DRL-Sampling,5412,0.7477614879608154,11,5,55,6259.0,6525.25,-13.53251318101933,-17.06064901727903
rdata,car4.fjs,DRL-Greedy,8381,0.2610121667385101,14,4,56,7674.0,7980.75,9.212926765702372,5.015192807693512
rdata,car4.fjs,DRL-Sampling,6897,0.7352471351623535,14,4,56,7674.0,7980.75,-10.125097732603598,-13.5795507940983
rdata,car3.fjs,DRL-Greedy,6283,0.2760146260261536,12,5,60,6674.0,7137.5,-5.858555588852263,-11.971978984238179
rdata,car3.fjs,DRL-Sampling,5801,0.8079750537872314,12,5,60,6674.0,7137.5,-13.080611327539707,-18.72504378283713
rdata,car5.fjs,DRL-Greedy,7680,0.2790235579013824,10,6,60,6498.0,7133.5,18.19021237303786,7.661035957103805
rdata,car5.fjs,DRL-Sampling,6203,0.8228237628936768,10,6,60,6498.0,7133.5,-4.539858417974761,-13.044087754958996
rdata,car8.fjs,DRL-Greedy,6776,0.2957843244075775,8,8,64,6783.0,7080.75,-0.10319917440660474,-4.30392260706846
rdata,car8.fjs,DRL-Sampling,6113,0.8906888961791992,8,8,64,6783.0,7080.75,-9.877635264632168,-13.667337499558663
rdata,car6.fjs,DRL-Greedy,7218,0.3357245326042175,8,9,72,7005.0,7409.5,3.0406852248394003,-2.584519873135839
rdata,car6.fjs,DRL-Sampling,6589,1.007433891296387,8,9,72,7005.0,7409.5,-5.938615274803712,-11.073621701869223
rdata,la06.fjs,DRL-Greedy,831,0.346528023481369,15,5,75,856.0,943.0,-2.9205607476635516,-11.876988335100743
rdata,la06.fjs,DRL-Sampling,810,0.9889895915985107,15,5,75,856.0,943.0,-5.373831775700935,-14.103923647932131
rdata,la07.fjs,DRL-Greedy,779,0.3460132777690887,15,5,75,796.0,876.5,-2.135678391959799,-11.123787792355962
rdata,la07.fjs,DRL-Sampling,771,0.9841537475585938,15,5,75,796.0,876.5,-3.1407035175879394,-12.036508841985167
rdata,la08.fjs,DRL-Greedy,809,0.346723735332489,15,5,75,830.0,931.0,-2.5301204819277108,-13.10418904403867
rdata,la08.fjs,DRL-Sampling,784,0.9826309680938721,15,5,75,830.0,931.0,-5.542168674698795,-15.789473684210526
rdata,la09.fjs,DRL-Greedy,915,0.3484965562820435,15,5,75,895.0,978.25,2.2346368715083798,-6.465627395859953
rdata,la09.fjs,DRL-Sampling,876,0.9836626052856445,15,5,75,895.0,978.25,-2.1229050279329607,-10.452338359315103
rdata,la10.fjs,DRL-Greedy,842,0.3475463092327118,15,5,75,845.0,923.0,-0.35502958579881655,-8.775731310942579
rdata,la10.fjs,DRL-Sampling,836,0.9936039447784424,15,5,75,845.0,923.0,-1.0650887573964496,-9.42578548212351
rdata,abz5.fjs,DRL-Greedy,1174,0.4914171397686005,10,10,100,1116.0,1164.5,5.197132616487455,0.8158007728638901
rdata,abz5.fjs,DRL-Sampling,1081,1.668503284454346,10,10,100,1116.0,1164.5,-3.136200716845878,-7.170459424645771
rdata,abz6.fjs,DRL-Greedy,856,0.4593806862831116,10,10,100,888.0,910.0,-3.6036036036036037,-5.934065934065933
rdata,abz6.fjs,DRL-Sampling,852,1.397581100463867,10,10,100,888.0,910.0,-4.054054054054054,-6.373626373626373
rdata,la11.fjs,DRL-Greedy,1109,0.4657154977321625,20,5,100,1086.0,1214.25,2.117863720073665,-8.667901997117562
rdata,la11.fjs,DRL-Sampling,1087,1.297239303588867,20,5,100,1086.0,1214.25,0.09208103130755065,-10.479719991764464
rdata,la12.fjs,DRL-Greedy,958,0.4630517959594727,20,5,100,949.0,1015.75,0.9483667017913594,-5.685454097957175
rdata,la12.fjs,DRL-Sampling,958,1.30281925201416,20,5,100,949.0,1015.75,0.9483667017913594,-5.685454097957175
rdata,la13.fjs,DRL-Greedy,1063,0.4645917117595673,20,5,100,1060.0,1145.0,0.2830188679245283,-7.1615720524017465
rdata,la13.fjs,DRL-Sampling,1048,1.307823657989502,20,5,100,1060.0,1145.0,-1.1320754716981132,-8.471615720524017
rdata,la14.fjs,DRL-Greedy,1107,0.466083824634552,20,5,100,1117.0,1208.75,-0.8952551477170994,-8.41778697001034
rdata,la14.fjs,DRL-Sampling,1090,1.298226356506348,20,5,100,1117.0,1208.75,-2.4171888988361685,-9.824198552223372
rdata,la15.fjs,DRL-Greedy,1136,0.4632183015346527,20,5,100,1157.0,1211.5,-1.8150388936905792,-6.231943871234007
rdata,la15.fjs,DRL-Sampling,1116,1.300629615783691,20,5,100,1157.0,1211.5,-3.543647363872083,-7.882789929839043
rdata,la16.fjs,DRL-Greedy,824,0.4639195501804352,10,10,100,839.0,871.5,-1.7878426698450536,-5.450372920252438
rdata,la16.fjs,DRL-Sampling,781,1.419320344924927,10,10,100,839.0,871.5,-6.912991656734207,-10.384394721744119
rdata,la17.fjs,DRL-Greedy,725,0.463254451751709,10,10,100,755.0,837.5,-3.9735099337748347,-13.432835820895523
rdata,la17.fjs,DRL-Sampling,667,1.413251161575317,10,10,100,755.0,837.5,-11.655629139072849,-20.35820895522388
rdata,la18.fjs,DRL-Greedy,743,0.4639921188354492,10,10,100,751.0,851.75,-1.0652463382157125,-12.767830936307604
rdata,la18.fjs,DRL-Sampling,730,1.392812967300415,10,10,100,751.0,851.75,-2.796271637816245,-14.294100381567363
rdata,la19.fjs,DRL-Greedy,917,0.4638869762420654,10,10,100,824.0,863.0,11.286407766990292,6.257242178447277
rdata,la19.fjs,DRL-Sampling,815,1.416558980941772,10,10,100,824.0,863.0,-1.0922330097087378,-5.5619930475086905
rdata,la20.fjs,DRL-Greedy,960,0.4614293277263641,10,10,100,890.0,957.5,7.865168539325842,0.26109660574412535
rdata,la20.fjs,DRL-Sampling,837,1.409271240234375,10,10,100,890.0,957.5,-5.955056179775281,-12.584856396866842
rdata,mt10.fjs,DRL-Greedy,783,0.459377110004425,10,10,100,771.0,818.25,1.556420233463035,-4.307974335472044
rdata,mt10.fjs,DRL-Sampling,747,1.405802011489868,10,10,100,771.0,818.25,-3.11284046692607,-8.707607699358388
